id;content;comment_date
1;../fake-data/blob/hipster.txt;2020-04-12T00:49:41
2;../fake-data/blob/hipster.txt;2020-04-12T08:29:39
3;../fake-data/blob/hipster.txt;2020-04-12T07:56:41
4;../fake-data/blob/hipster.txt;2020-04-12T04:06:35
5;../fake-data/blob/hipster.txt;2020-04-12T13:03:11
6;../fake-data/blob/hipster.txt;2020-04-12T04:52:31
7;../fake-data/blob/hipster.txt;2020-04-12T02:33:17
8;../fake-data/blob/hipster.txt;2020-04-12T08:52:16
9;../fake-data/blob/hipster.txt;2020-04-12T19:02:02
10;../fake-data/blob/hipster.txt;2020-04-12T01:28:21
