id;content;comment_date
1;../fake-data/blob/hipster.txt;2020-04-12T03:04:54
2;../fake-data/blob/hipster.txt;2020-04-12T08:25:27
3;../fake-data/blob/hipster.txt;2020-04-12T10:04:46
4;../fake-data/blob/hipster.txt;2020-04-12T21:49:30
5;../fake-data/blob/hipster.txt;2020-04-12T09:42:26
6;../fake-data/blob/hipster.txt;2020-04-12T18:41:35
7;../fake-data/blob/hipster.txt;2020-04-12T19:47:57
8;../fake-data/blob/hipster.txt;2020-04-12T23:12:01
9;../fake-data/blob/hipster.txt;2020-04-12T11:46:58
10;../fake-data/blob/hipster.txt;2020-04-12T15:12:20
